"region_id";"large_gov";"region_lat";"region_long";"small_gov"
202;"경남";"35.52059757388155";"127.72519735559659";"함양군"
203;"경남";"35.415627960763054";"127.87345521141863";"산청군"
204;"경남";"35.322303779661674";"128.2617419979224";"의령군"
205;"경북";"36.01928571243776";"129.3432768402655";"포항시"
206;"경북";"35.85619818350339";"129.22479909901466";"경주시"
207;"경북";"36.1399016376469";"128.11363936910305";"김천시"
208;"경북";"36.56856884899968";"128.7295325402764";"안동시"
209;"경북";"36.1197193129177";"128.34427354026735";"구미시"
210;"경북";"36.80582083399656";"128.62389562494027";"영주시"
211;"경북";"35.97331590775458";"128.93854711493063";"영천시"
212;"경북";"36.41106135787771";"128.15900244027304";"상주시"
213;"경북";"36.5869033276336";"128.18713381328794";"문경시"
214;"경북";"35.82513427037893";"128.741532669097";"경산시"
215;"경북";"36.24301416296625";"128.5729584556107";"군위군"
216;"경북";"36.35279978824852";"128.69708859794252";"의성군"
217;"경북";"36.43636303230789";"129.05710145561454";"청송군"
218;"경북";"36.66674183842472";"129.1123903691134";"영양군"
219;"경북";"36.41514695288137";"129.36608534027332";"영덕군"
220;"경북";"35.647444883212415";"128.73437226909346";"청도군"
221;"경북";"35.72621105898493";"128.26296352676528";"고령군"
222;"경북";"35.919403866918564";"128.28322044026362";"성주군"
223;"경북";"35.99559616343099";"128.40170561142983";"칠곡군"
224;"경북";"36.64682740916305";"128.43740561144273";"예천군"
225;"경북";"36.89318786495546";"128.73253731144754";"봉화군"
226;"경북";"36.99316084117078";"129.40058609795526";"울진군"
227;"경북";"37.4845200286183";"130.90586866913";"울릉군"
228;"제주";"33.49965325098258";"126.53125181210822";"제주시"
229;"제주";"33.2452876297548";"126.56587259810225";"서귀포시"
